cellosaurus_id,cell_line_name,DepMap_ID,disease,disease_combined,disease_cleaned,disease_sutype,disease_sub_subtype,culture_type,culture_medium,gender,source,cellosaurus_derived_from_site,cellosaurus_disease,tissue
CVCL_1167,Daoy,ACH-000211,central_nervous_system,central_nervous_system,Brain,medulloblastoma,non-MYC,Adherent,MEM + 10% FBS,Male,ATCC,"Brain, posterior fossa",Medulloblastoma,Brain
CVCL_1169,DBTRG-05MG,ACH-000863,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,,,Female,ATCC,Brain,Anaplastic astrocytoma,Brain
CVCL_1170,DEL,ACH-000233,lymphoma,lymphoma,Lymph,T-cell_lymphoma_other, ,Suspension,RPMI + 10% FBS,Male,DSMZ,Pleural effusion,ALK-positive anaplastic large cell lymphoma,Lymph
CVCL_1171,Detroit 562,ACH-000207,upper_aerodigestive,upper_aerodigestive,Head And Neck,upper_aerodigestive_squamous, ,,MEM + 10% FBS,Female,ATCC,Pleural effusion,Squamous cell carcinoma of the oral cavity,Head And Neck
CVCL_1173,DK-MG,ACH-000244,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,RPMI + 10% FBS + 2mM Glutamine,Female,DSMZ,"Brain, right parietal lobe",Glioblastoma,Brain
CVCL_1174,DMS 114,ACH-000530,lung,lung,Lung,lung_small, ,,,Male,ATCC,Lung,Thoracic SMARCA4-deficient undifferentiated tumor,Lung
CVCL_1179,DoHH2,ACH-000056,lymphoma,lymphoma,Lymph,DLBCL, ,,,Male,DSMZ,Pleural effusion,Diffuse large B-cell lymphoma,Lymph
CVCL_1184,DV-90,ACH-000925,lung,lung,Lung,lung_NSC, ,,,Male,DSMZ,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_1186,EB2 [Human Burkitt lymphoma],,,burkitt lymphoma,Lymph,,,,,,,Ovary,Burkitt lymphoma,Lymph
CVCL_1191,EFE-184,ACH-000435,uterus,uterus,Uterus,uterus_endometrium, ,,,Female,DSMZ,Ascites,Endometrial carcinoma,Uterus
CVCL_1192,EFO-27,ACH-000936,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_endometrioid,Adherent,RPMI + 20% FBS + 1mM Sodium pyruvate + 0.1mM NEAA,Female,DSMZ,Omentum,Mucinous adenocarcinoma of ovary,Ovary
CVCL_1196,EM-2,ACH-000295,leukemia,leukemia,Blood,CML, ,Suspension,RPMI + 10% FBS,Female,DSMZ,Bone marrow,Chronic myeloid leukemia,Blood
CVCL_1205,ESS-1,ACH-000913,uterus,uterus,Uterus,uterus_endometrium, ,Adherent,RPMI + 20% FBS,Female,DSMZ,Endometrium,Endometrial stromal sarcoma,Uterus
CVCL_1218,FaDu,ACH-000846,upper_aerodigestive,upper_aerodigestive,Head And Neck,upper_aerodigestive_squamous, ,,MEM + 10% FBS,Male,ATCC,"Pharynx, hypopharynx",Squamous cell carcinoma of the hypopharynx,Head And Neck
CVCL_1220,G-361,ACH-000572,skin,skin,Skin,melanoma, ,,,Male,ATCC,Skin,Melanoma,Skin
CVCL_1221,G-402,ACH-000375,rhabdoid,rhabdoid,Muscle, , ,Adherent,McCoy's 5A + 10% FBS,Female,ATCC,Kidney,Kidney neoplasm,Muscle
CVCL_1226,GaMG,ACH-000098,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,DMEM + 10% FBS + 2mM Glutamax,Female,DSMZ,Brain,Glioblastoma,Brain
CVCL_1227,GB-1,ACH-000738,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,MEM + 10% FBS,Male,HSSRB,Brain,Glioblastoma,Brain
CVCL_1228,GCIY,ACH-000047,gastric,gastric,Stomach,gastric_adenocarcinoma, ,Adherent,MEM + 15% FBS,Female,RIKEN,Ascites,Gastric adenocarcinoma,Stomach
CVCL_1229,GCT,ACH-000835,soft_tissue,soft_tissue,Soft Tissue,pleomorphic_sarcoma, ,,McCoy's 5A + 10% FBS,Male,ATCC,Lung,Undifferentiated pleomorphic sarcoma,Soft Tissue
CVCL_1231,GI-1,ACH-000756,central_nervous_system,central_nervous_system,Brain,glioma, ,Adherent,DMEM + 10% FBS,Male,RIKEN,"Brain, left fronto-parietal lobe.",Gliosarcoma,Brain
CVCL_1233,GMS-10,ACH-000102,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,,,Male,DSMZ,Brain,Glioblastoma,Brain
CVCL_1239,H4,ACH-000389,central_nervous_system,central_nervous_system,Brain,glioma, ,Adherent,RPMI + 10% FBS,Male,ATCC,Brain,Astrocytoma,Brain
CVCL_1247,HCC1187,ACH-000111,breast,breast,Breast,TNBC, ,Mixed Adherent and Suspension,RPMI + 10% FBS,Female,ATCC,Breast,Breast ductal carcinoma,Breast
CVCL_1249,HCC1395,ACH-000699,breast,breast,Breast,TNBC, ,Adherent,RPMI + 10% FBS,Female,ATCC,Breast,Breast ductal carcinoma,Breast
CVCL_1255,HCC1569,ACH-000930,breast,breast,Breast,TNBC, ,,,Female,ATCC,Breast,Breast ductal carcinoma,Breast
CVCL_1258,HCC1806,ACH-000624,breast,breast,Breast,TNBC, ,Adherent,RPMI + 10% FBS,Female,ATCC,Breast,Breast acantholytic squamous cell carcinoma,Breast
CVCL_1259,HCC1954,ACH-000859,breast,breast,Breast,HER2Amp, ,Adherent,RPMI + 10% FBS,Female,ATCC,Breast,Breast ductal carcinoma,Breast
CVCL_1265,HCC2935,ACH-000150,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,,Lung adenocarcinoma,Lung
CVCL_1269,HCC4006,ACH-000066,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_1270,HCC70,ACH-000668,breast,breast,Breast,TNBC, ,,,Female,ATCC,Breast,Breast ductal carcinoma,Breast
CVCL_1273,HD-MY-Z,ACH-000190,lymphoma,lymphoma,Lymph,Hodgkin_lymphoma, ,Adherent,RPMI + 10% heat inactivated FBS,Male,DSMZ,Pleural effusion,Acute myeloid leukemia,Lymph
CVCL_1279,HGC-27,ACH-000847,gastric,gastric,Stomach, , ,Adherent,MEM + 10% FBS + 2mM L-glutamine + NEAA,Unknown,ECACC,Lymph node,Gastric carcinoma,Stomach
CVCL_1280,HH [Human lymphoma],,,primary cutaneous t-cell lymphoma,Lymph,,,,,,,Peripheral blood,Primary cutaneous T-cell lymphoma,Lymph
CVCL_1281,HLE,ACH-001089,liver,liver,Liver, , ,,,Male,HSRRB,Liver,Adult hepatocellular carcinoma,Liver
CVCL_1287,HSC-2,ACH-000472,upper_aerodigestive,upper_aerodigestive,Head And Neck,upper_aerodigestive_squamous, ,Adherent,MEM + 10% FBS,Male,HSSRB,Cervical lymph node,Squamous cell carcinoma of the oral cavity,Head And Neck
CVCL_1290,HT,ACH-000914,lymphoma,lymphoma,Lymph,B-cell_lymphoma_other, ,,RPMI + 10% FBS,Male,ATCC,Ascites,Diffuse large B-cell lymphoma,Lymph
CVCL_1291,HT-1197,ACH-000547,urinary_tract,urinary_tract,Bladder, , ,Adherent,MEM + 10% FBS,Male,ATCC,Urinary bladder,Recurrent bladder carcinoma,Bladder
CVCL_1292,HT-1376,ACH-000724,urinary_tract,urinary_tract,Bladder, , ,Adherent,MEM + 10% FBS,Female,ATCC,Urinary bladder,Bladder carcinoma,Bladder
CVCL_1299,HuP-T3,ACH-000118,pancreas,pancreas,Pancreas, , ,Adherent,MEM + 10% FBS,Male,DSMZ,Ascites,Pancreatic adenocarcinoma,Pancreas
CVCL_1300,HuP-T4,ACH-000213,pancreas,pancreas,Pancreas, , ,,,Male,DSMZ,Ascites,Pancreatic adenocarcinoma,Pancreas
CVCL_1302,IA-LM,ACH-000672,lung,lung,Lung,lung_NSC,lung_large,,,Male,RIKEN,,Lung large cell carcinoma,Lung
CVCL_1304,IGROV-1,ACH-000966,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_endometrioid,,,Female,NCI/DCTD,Ovary,Endometrioid carcinoma of ovary,Ovary
CVCL_1307,IPC-298,ACH-000915,skin,skin,Skin,melanoma, ,Adherent,RPMI + 10% FBS,Female,DSMZ,,Cutaneous melanoma,Skin
CVCL_1311,IST-Mes1,ACH-000569,mesothelioma,mesothelioma,Lung, , ,,,Female,ICLC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1312,IST-Mes2,ACH-000331,mesothelioma,mesothelioma,Lung, , ,Adherent,DMEM + 10% FBS + 2mM L-glutamine + NEAA,Male,ICLC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1320,JVM-3,ACH-000346,lymphoma,lymphoma,Lymph,B-cell_lymphoma_other, ,,,Male,DSMZ,Peripheral blood,B-cell prolymphocytic leukemia,Lymph
CVCL_1321,KO52,ACH-000498,leukemia,leukemia,Blood,AML, ,Suspension,AlphaMEM + 10% heat inactivated FBS,Male,HSSRB,Bone marrow,Acute myeloid leukemia,Blood
CVCL_1323,KALS-1,ACH-000231,central_nervous_system,central_nervous_system,Brain,glioma,glioblastoma,Adherent,RPMI + 5% FBS,Female,HSSRB,Brain,Glioblastoma,Brain
CVCL_1324,Karpas-299,ACH-000053,lymphoma,lymphoma,Lymph,ALCL, ,Suspension,RPMI + 20% FBS + 2mM Glutamine,Male,ECAAC,Peripheral blood,ALK-positive anaplastic large cell lymphoma,Lymph
CVCL_1325,Karpas-422,ACH-000315,lymphoma,lymphoma,Lymph,DLBCL, ,Suspension,RPMI + 20% FBS,Female,DSMZ,Pleural effusion,Diffuse large B-cell lymphoma,Lymph
CVCL_1329,KLE,ACH-000293,uterus,uterus,Uterus,uterus_endometrium, ,Adherent,DMEM:F12 (1:1) + 10% FBS,Female,ATCC,Endometrium,Type II endometrial adenocarcinoma,Uterus
CVCL_1334,KMS-12-BM,ACH-000380,multiple_myeloma,multiple_myeloma,Blood, , ,,,Female,DSMZ,Bone marrow,Multiple myeloma,Blood
CVCL_1335,KNS-62,ACH-000858,lung,lung,Lung,lung_NSC,lung_squamous,Adherent,AlphaMEM + 10% FBS,Male,ATCC,Brain,Lung squamous cell carcinoma,Lung
CVCL_1338,KP-4,ACH-000265,pancreas,pancreas,Pancreas, , ,Adherent,DMEM:F12 (1:1) + 10% FBS,Male,RIKEN,Ascites,Pancreatic carcinoma,Pancreas
CVCL_1340,KP-N-SI9s,ACH-000446,peripheral_nervous_system,peripheral_nervous_system,Nervous System,neuroblastoma, ,,,Male,HSSRB,Left axillary lymph node,Neuroblastoma,Nervous System
CVCL_1345,Kuramochi,ACH-000524,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_high_grade_serous,Adherent,RPMI + 10% FBS,Female,HSRRB,Ascites,High grade ovarian serous adenocarcinoma,Ovary
CVCL_1347,KYSE-140,ACH-000823,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI + 10% FBS,Male,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1348,KYSE-150,ACH-000855,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI:F12 (1:1) + 10% FBS,Female,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1349,KYSE-180,ACH-000693,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI + 10% FBS,Male,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1351,KYSE-30,ACH-000777,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI:F12 (1:1) + 20% FBS,Male,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1352,KYSE-410,ACH-000809,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI + 10% FBS,Male,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1353,KYSE-450,ACH-000865,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI:F12 (1:1) + 10% FBS,Male,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1354,KYSE-510,ACH-000824,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI + 10% FBS,Female,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1355,KYSE-520,ACH-000637,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI + 10% FBS,Female,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1356,KYSE-70,ACH-000784,esophagus,esophagus,Esophagus,esophagus_squamous, ,Adherent,RPMI + 10% FBS,Male,DSMZ,Esophagus,Squamous cell carcinoma of the esophagus,Esophagus
CVCL_1357,L-363,ACH-000183,multiple_myeloma,multiple_myeloma,Blood, , ,Suspension,RPMI + 15% FBS,Female,DSMZ,Peripheral blood,Multiple myeloma,Blood
CVCL_1361,L-428,ACH-000754,lymphoma,lymphoma,Lymph,Hodgkin_lymphoma, ,,,Female,DSMZ,Pleural effusion,Hodgkin lymphoma,Lymph
CVCL_1375,LCLC-103H,ACH-000627,lung,lung,Lung,lung_NSC,lung_large,Adherent,RPMI + 10% FBS,Male,DSMZ,Pleural effusion,Lung large cell carcinoma,Lung
CVCL_1381,LOX-IMVI,ACH-000750,skin,skin,Skin,melanoma, ,,,Male,NCI/DCTD,Axillary lymph node,Amelanotic melanoma,Skin
CVCL_1383,LS123,ACH-000501,colorectal,colorectal,Colon, , ,,,Female,ATCC,Colon,Colon adenocarcinoma,Colon
CVCL_1385,LS411N,ACH-000985,colorectal,colorectal,Colon,colorectal_MSI, ,,,Male,ATCC,Cecum,Cecum adenocarcinoma,Colon
CVCL_1386,LS513,ACH-000007,colorectal,colorectal,Colon, , ,Adherent,RPMI + 10% FBS,Male,ATCC,"Intestine, ileocecal valve",Cecum adenocarcinoma,Colon
CVCL_1399,MC116,ACH-000583,lymphoma,lymphoma,Lymph,B-cell_lymphoma_other, ,,,Male,ATCC,Pleural effusion,B-cell non-Hodgkin lymphoma,Lymph
CVCL_1400,MDA-MB-175-VII,ACH-000759,breast,breast,Breast,ERpos, ,,,Female,ATCC,Pleural effusion,Invasive breast carcinoma of no special type,Breast
CVCL_1402,Mel Ho,ACH-000450,skin,skin,Skin,melanoma, ,Adherent,RPMI + 10% FBS,Female,DSMZ,Skin,Melanoma,Skin
CVCL_1404,MES-SA,ACH-000449,uterus,uterus,Uterus,uterine_sarcoma, ,,,Female,ATCC,Uterus,Sarcoma of the corpus uteri,Uterus
CVCL_1405,MFE-280,ACH-000192,uterus,uterus,Uterus,uterus_endometrium, ,,,Female,DSMZ,Endometrium,Endometrial adenocarcinoma,Uterus
CVCL_1406,MFE-296,ACH-000879,uterus,uterus,Uterus,uterus_endometrium, ,,,Female,DSMZ,Endometrium,Endometrial adenocarcinoma,Uterus
CVCL_1411,MHH-ES-1,ACH-000391,bone,bone,Bone,Ewing_sarcoma, ,,,Male,DSMZ,Ascites,Ewing sarcoma,Bone
CVCL_1414,MJ,ACH-000077,lymphoma,lymphoma,Lymph,T-cell_lymphoma_other, ,,,Male,ATCC,Peripheral blood,Primary cutaneous T-cell lymphoma,Lymph
CVCL_1417,MKN7,ACH-000678,gastric,gastric,Stomach,gastric_adenocarcinoma, ,,,Male,RIKEN,Lymph node,Gastric tubular adenocarcinoma,Stomach
CVCL_1424,MOLT-16,ACH-000918,leukemia,leukemia,Blood,T-cell_ALL, ,,,Female,DSMZ,Peripheral blood,Precursor T-cell acute lymphoblastic leukemia,Blood
CVCL_1425,Mono-Mac-1,ACH-001129,leukemia,leukemia,Blood,AML, ,Suspension,RPMI + 10% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 0.1mM NEAA,Male,DSMZ,Peripheral blood,Acute monoblastic/monocytic leukemia,Blood
CVCL_1427,MPP 89,ACH-000319,mesothelioma,mesothelioma,Lung, , ,Adherent,DMEM + 10% FBS,Male,ICLC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1430,MSTO-211H,ACH-000335,mesothelioma,mesothelioma,Lung, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1438,Malme-3M,ACH-000477,skin,skin,Skin,melanoma, ,Adherent,RPMI + 10% FBS,Male,ATCC,Lung,Melanoma,Skin
CVCL_1453,NCI-H1048,ACH-000866,lung,lung,Lung,lung_small, ,Adherent,RPMI + 10% FBS + 5ml Insulin-Transferrin-Selenium,Female,ATCC,Pleural effusion,Small cell lung cancer,Lung
CVCL_1454,NCI-H1092,ACH-000514,lung,lung,Lung,lung_small, ,Suspension,RPMI + 5% FBS + 2mM L-glutamine + 5ml Insulin-Transferrin-Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,Male,ATCC,Bone marrow,Small cell lung cancer,Lung
CVCL_1456,NCI-H1155,ACH-000980,lung,lung,Lung,lung_NSC,lung_large,Adherent,DMEM:F12 (1:1) + 10% FBS + NEAA,Male,ATCC,Lymph node,Lung large cell carcinoma,Lung
CVCL_1458,NCI-H1184,ACH-000523,lung,lung,Lung,lung_small, ,,,Male,ATCC,Lymph node,Small cell lung cancer,Lung
CVCL_1463,NCI-H1341,ACH-000129,lung,lung,Lung,lung_small, ,,,Female,ATCC,"Uterus, cervix",High-grade neuroendocrine carcinoma of the cervix uteri,Lung
CVCL_1464,NCI-H1355,ACH-000666,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_1465,NCI-H1373,ACH-000845,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1475,NCI-H1563,ACH-000892,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1476,NCI-H1568,ACH-000869,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Female,ATCC,Lymph node,Lung adenocarcinoma,Lung
CVCL_1478,NCI-H1573,ACH-000916,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 5% FBS,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1479,NCI-H1581,ACH-000015,lung,lung,Lung,lung_NSC,lung_large,Adherent,DMEM:F12 (1:1) + 5% FBS,Male,ATCC,Lung,Lung large cell carcinoma,Lung
CVCL_1482,NCI-H1648,ACH-000766,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Lymph node,Lung adenocarcinoma,Lung
CVCL_1483,NCI-H1650,ACH-000035,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Minimally invasive lung adenocarcinoma,Lung
CVCL_1484,NCI-H1651,ACH-000893,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1485,NCI-H1666,ACH-000448,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Mixed Adherent and Suspension,ACL4,Female,ATCC,Pleural effusion,Minimally invasive lung adenocarcinoma,Lung
CVCL_1488,NCI-H1693,ACH-000021,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Female,ATCC,Lymph node,Lung adenocarcinoma,Lung
CVCL_1489,NCI-H1694,ACH-000431,lung,lung,Lung,lung_small, ,Suspension,F12 + 10% FBS,Male,ATCC,Ascites,Small cell lung cancer,Lung
CVCL_1490,NCI-H1703,ACH-000747,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Lung,Lung squamous cell carcinoma,Lung
CVCL_1495,NCI-H1792,ACH-000496,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_1496,NCI-H1793,ACH-000888,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,DMEM:F12 (1:1) + 5% FBS + 2mM L-glutamine + 5ug/ml Insulin + 0.01mg/ml Transferrin + 30nM Selenium + 10mM HEPES + 10nM Hydrocortisone + 10nM Beta estradiol,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1500,NCI-H1869,ACH-000894,lung,lung,Lung,lung_NSC,lung_squamous,,,Male,ATCC,Lung,Lung squamous cell carcinoma,Lung
CVCL_1505,NCI-H1915,ACH-000434,lung,lung,Lung,lung_NSC,lung_large,Adherent,RPMI + 10% FBS,Female,ATCC,Lung,Lung non-small cell carcinoma,Lung
CVCL_1508,NCI-H1944,ACH-000414,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1511,NCI-H1975,ACH-000587,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,DMEM + 10% FBS,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1514,NCI-H2009,ACH-000886,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Female,ATCC,Lymph node,Lung adenocarcinoma,Lung
CVCL_1515,NCI-H2023,ACH-000781,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,DMEM:F12 (1:1) + 5% FBS + 2mM L-glutamine + 5ug/ml Insulin + 0.01mg/ml Transferrin + 10nM Selenium + 10mM HEPES + 10nM Hydrocortisone + 10nM Beta estradiol,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1517,NCI-H2030,ACH-000521,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Lymph node,Lung adenocarcinoma,Lung
CVCL_1518,NCI-H2052,ACH-000153,mesothelioma,mesothelioma,Lung, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1523,NCI-H2085,ACH-000451,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1524,NCI-H2087,ACH-000841,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 5% FBS,Male,ATCC,Lymph node,Lung adenocarcinoma,Lung
CVCL_1529,NCI-H211,ACH-000639,lung,lung,Lung,lung_small, ,Semi-Adherent,RPMI + 10% FBS,Female,ATCC,Bone marrow,Small cell lung cancer,Lung
CVCL_1531,NCI-H2122,ACH-000311,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Female,ATCC,Pleural effusion,Lung adenocarcinoma,Lung
CVCL_1535,NCI-H2170,ACH-000481,lung,lung,Lung,lung_NSC,lung_squamous,Adherent,RPMI + 10% FBS,Male,ATCC,,Lung squamous cell carcinoma,Lung
CVCL_1537,NCI-H2172,ACH-000924,lung,lung,Lung,lung_NSC, ,Adherent,RPMI + 10% FBS,Female,ATCC,Lung,Lung non-small cell carcinoma,Lung
CVCL_1543,NCI-H2228,ACH-000447,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1544,NCI-H226,ACH-000367,lung,lung,Lung,lung_NSC,lung_squamous,,,Male,ATCC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1545,NCI-H2286,ACH-000912,lung,lung,Lung,lung_small, ,Adherent,DMEM:F12 (1:1) + 10% FBS + 1x Insulin-Transferrin-Selenium,Female,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1547,NCI-H23,ACH-000900,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1552,NCI-H2444,ACH-000186,lung,lung,Lung,lung_NSC, ,,,Male,ATCC,Lung,Lung non-small cell carcinoma,Lung
CVCL_1553,NCI-H2452,ACH-000092,mesothelioma,mesothelioma,Lung, , ,Adherent,RPMI + 10% FBS,Male,ATCC,"Lung, pleura",Pleural mesothelioma,Lung
CVCL_1555,NCI-H28,ACH-000648,mesothelioma,mesothelioma,Lung, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Pleural mesothelioma,Lung
CVCL_1556,NCI-H322,ACH-000837,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS + 2% Glutamine,Male,EACC,Lung,Minimally invasive lung adenocarcinoma,Lung
CVCL_1559,NCI-H358,ACH-000860,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Minimally invasive lung adenocarcinoma,Lung
CVCL_1561,NCI-H441,ACH-000638,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,Adherent,RPMI + 10% FBS,Male,ATCC,Pericardial effusion,Lung papillary adenocarcinoma,Lung
CVCL_1566,NCI-H520,ACH-000395,lung,lung,Lung,lung_NSC,lung_squamous,Adherent,RPMI + 10% FBS,Male,ATCC,Lung,Lung squamous cell carcinoma,Lung
CVCL_1567,NCI-H522,ACH-000343,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1574,NCI-H647,ACH-000378,lung,lung,Lung,lung_NSC, ,Adherent,RPMI + 10% FBS,Male,ATCC,Pleural effusion,Lung adenosquamous carcinoma,Lung
CVCL_1575,NCI-H650,ACH-000945,lung,lung,Lung,lung_NSC,lung_adenocarcinoma,,,Male,ATCC,Lung,Lung adenocarcinoma,Lung
CVCL_1577,NCI-H661,ACH-000853,lung,lung,Lung,lung_NSC,lung_large,Adherent,RPMI + 10% FBS,Male,ATCC,Lymph node,Lung large cell carcinoma,Lung
CVCL_1584,NCI-H727,ACH-000775,lung,lung,Lung,lung_NSC, ,,RPMI + 10% FBS,Female,ATCC,,Lung carcinoid tumor,Lung
CVCL_1587,NCI-H747,ACH-000403,colorectal,colorectal,Colon, , ,Adherent,RPMI + 10% FBS,Male,ATCC,Lymph node,Cecum adenocarcinoma,Colon
CVCL_1590,NCI-H810,ACH-000789,lung,lung,Lung,lung_NSC,lung_large,,,Male,ATCC,Lung,Lung large cell carcinoma,Lung
CVCL_1603,NCI-N87,ACH-000427,gastric,gastric,Stomach,gastric_adenocarcinoma, ,Adherent,RPMI + 10% FBS,Male,ATCC,Liver,Gastric tubular adenocarcinoma,Stomach
CVCL_1612,NUGC-3,ACH-000911,gastric,gastric,Stomach,gastric_adenocarcinoma, ,Adherent,RPMI + 10% FBS,Male,JHSF,Brachialis muscle,Gastric adenocarcinoma,Stomach
CVCL_1616,OC 314,ACH-000962,ovary,ovary,Ovary,ovary_adenocarcinoma,ovary_serous,,,Female,ICLC,Ascites,Ovarian serous adenocarcinoma,Ovary
CVCL_1617,OC 315,,,ovarian serous adenocarcinoma,Ovary,,,,,,,Ascites,Ovarian serous adenocarcinoma,Ovary
CVCL_1618,OC 316,ACH-001145,ovary,ovary,Ovary,ovary_adenocarcinoma, ,,,Female,ICLC,Ascites,Ovarian serous adenocarcinoma,Ovary
CVCL_1619,OCI-AML-2,ACH-000113,leukemia,leukemia,Blood,AML, ,Suspension,AlphaMEM + 20% FBS,Male,DSMZ,Peripheral blood,Acute myeloid leukemia,Blood
CVCL_1620,OCI-AML-5,ACH-000065,leukemia,leukemia,Blood,AML, ,,,Male,DSMZ,Peripheral blood,Acute myeloid leukemia,Blood
CVCL_1624,ONS-76,ACH-000776,central_nervous_system,central_nervous_system,Brain,medulloblastoma,non-MYC,Adherent,RPMI + 10% FBS,Female,HSSRB,Brain,Medulloblastoma,Brain
