gene,landmark,target,pam50,source
FOSL1,1,0,0,landmark
FOXA1,0,0,1,pam50
FOXC1,0,0,1,pam50
FOXJ3,1,0,0,landmark
FOXO3,1,0,0,landmark
FPGS,1,0,0,landmark
FRS2,1,0,0,landmark
FSD1,1,0,0,landmark
FUT1,1,0,0,landmark
FYN,1,0,0,landmark
FZD1,1,0,0,landmark
FZD7,1,0,0,landmark
G3BP1,1,0,0,landmark
GAA,1,0,0,landmark
GABPB1,1,0,0,landmark
GADD45A,1,0,0,landmark
GADD45B,1,0,0,landmark
GALE,1,0,0,landmark
GAPDH,1,0,0,landmark
GARRE1,1,0,0,landmark
GATA2,1,0,0,landmark
GATA3,1,0,0,landmark
GDPD5,1,0,0,landmark
GET1,1,0,0,landmark
GFOD1,1,0,0,landmark
GFPT1,1,0,0,landmark
GFUS,1,0,0,landmark
GHR,1,0,0,landmark
GLI2,1,0,0,landmark
GLOD4,1,0,0,landmark
GLRX,1,0,0,landmark
GMNN,1,0,0,landmark
GNA11,1,0,0,landmark
GNA15,1,0,0,landmark
GNAI1,1,0,0,landmark
GNAI2,1,0,0,landmark
GNAS,1,0,0,landmark
GNB5,1,0,0,landmark
GNPDA1,1,0,0,landmark
GOLT1B,1,0,0,landmark
GPATCH8,1,0,0,landmark
GPC1,1,0,0,landmark
GPER1,0,1,0,target
GPR160,0,0,1,pam50
GRB10,1,0,0,landmark
GRB7,1,0,1,"landmark,pam50"
GRN,1,0,0,landmark
GRWD1,1,0,0,landmark
GSK3A,0,1,0,target
GSK3B,0,1,0,target
GSTZ1,1,0,0,landmark
GTF2A2,1,0,0,landmark
GTF2E2,1,0,0,landmark
GTPBP8,1,0,0,landmark
H2AZ2,1,0,0,landmark
H2BC12,1,0,0,landmark
H2BC21,1,0,0,landmark
HADH,1,0,0,landmark
HAT1,1,0,0,landmark
HDAC1,0,1,0,target
HDAC2,1,1,0,"landmark,target"
HDAC3,0,1,0,target
HDAC6,0,1,0,target
HDAC8,0,1,0,target
HEATR1,1,0,0,landmark
HEBP1,1,0,0,landmark
HERC6,1,0,0,landmark
HERPUD1,1,0,0,landmark
HES1,1,0,0,landmark
HK1,1,0,0,landmark
HLA-DRA,1,0,0,landmark
HMG20B,1,0,0,landmark
HMGA2,1,0,0,landmark
HMGCR,1,1,0,"landmark,target"
HMGCS1,1,1,0,"landmark,target"
HMOX1,1,0,0,landmark
HNF4A,0,1,0,target
HOMER2,1,0,0,landmark
HOOK2,1,0,0,landmark
HS2ST1,1,0,0,landmark
HSP90AA1,0,1,0,target
HSP90AB1,0,1,0,target
HSP90B1,0,1,0,target
HSPA1A,1,1,0,"landmark,target"
HSPA1B,0,1,0,target
HSPA1L,0,1,0,target
HSPA4,1,0,0,landmark
HSPA8,1,0,0,landmark
HSPD1,1,0,0,landmark
HTRA1,1,0,0,landmark
HYOU1,1,0,0,landmark
IARS2,1,0,0,landmark
ICAM1,1,0,0,landmark
ICAM3,1,0,0,landmark
ICMT,1,0,0,landmark
ID2,1,0,0,landmark
IDE,1,0,0,landmark
IDH1,0,1,0,target
IER3,1,0,0,landmark
IFNAR1,1,0,0,landmark
IFRD2,1,0,0,landmark
IGF1R,1,1,0,"landmark,target"
IGF2BP2,1,0,0,landmark
IGF2R,1,0,0,landmark
IGFBP3,1,0,0,landmark
IGHMBP2,1,0,0,landmark
IKBKB,1,1,0,"landmark,target"
IKBKE,1,1,0,"landmark,target"
IKZF1,1,0,0,landmark
IL1B,1,0,0,landmark
IL4R,1,0,0,landmark
ILK,1,0,0,landmark
INPP1,1,0,0,landmark
INPP4B,1,0,0,landmark
INSIG1,1,0,0,landmark
INSR,0,1,0,target
INTS3,1,0,0,landmark
IPO13,1,0,0,landmark
IQGAP1,1,0,0,landmark
ISOC1,1,0,0,landmark
ITFG1,1,0,0,landmark
ITGAE,1,0,0,landmark
ITGB1BP1,1,0,0,landmark
ITGB5,1,0,0,landmark
JAK1,0,1,0,target
JAK2,0,1,0,target
JMJD6,1,0,0,landmark
JUN,1,0,0,landmark
KAT6A,1,0,0,landmark
KAT6B,1,0,0,landmark
KCNK1,1,0,0,landmark
KCTD5,1,0,0,landmark
KDM3A,1,1,0,"landmark,target"
KDM4A,0,1,0,target
KDM4B,0,1,0,target
KDM4C,0,1,0,target
KDM4D,0,1,0,target
KDM5A,1,0,0,landmark
KDM5B,1,0,0,landmark
KDM6A,0,1,0,target
KDM6B,0,1,0,target
KDR,0,1,0,target
KEAP1,1,1,0,"landmark,target"
KIAA0753,1,0,0,landmark
KIF11,0,1,0,target
KIF14,1,0,0,landmark
KIF20A,1,0,0,landmark
KIF2C,1,0,1,"landmark,pam50"
KIF5C,1,0,0,landmark
KIT,1,1,0,"landmark,target"
KLHDC2,1,0,0,landmark
KLHL21,1,0,0,landmark
KLHL9,1,0,0,landmark
KPNB1,0,1,0,target
KRT14,0,0,1,pam50
KRT17,0,0,1,pam50
KRT5,0,0,1,pam50
KTN1,1,0,0,landmark
LAMA3,1,0,0,landmark
LAP3,1,1,0,"landmark,target"
LBR,1,0,0,landmark
LCK,0,1,0,target
LDHA,0,1,0,target
LDHB,0,1,0,target
LDHC,0,1,0,target
LGALS8,1,0,0,landmark
LGMN,1,0,0,landmark
LIG1,1,0,0,landmark
LIPA,1,0,0,landmark
LOXL1,1,0,0,landmark
LPAR2,1,0,0,landmark
LPGAT1,1,0,0,landmark
LRP10,1,0,0,landmark
LRPAP1,1,0,0,landmark
LRRC41,1,0,0,landmark
LRRK2,0,1,0,target
LSM6,1,0,0,landmark
LSR,1,0,0,landmark
LYN,1,0,0,landmark
LYRM1,1,0,0,landmark
MACF1,1,0,0,landmark
MALT1,1,0,0,landmark
MAN2B1,1,0,0,landmark
MAP2K1,0,1,0,target
MAP2K2,0,1,0,target
MAP2K5,1,0,0,landmark
MAP3K4,1,0,0,landmark
MAP3K8,0,1,0,target
MAP4K4,1,0,0,landmark
MAP7,1,0,0,landmark
MAPK1,0,1,0,target
MAPK11,0,1,0,target
MAPK13,1,0,0,landmark
MAPK14,0,1,0,target
MAPK1IP1L,1,0,0,landmark
MAPK9,1,1,0,"landmark,target"
MAPKAPK2,1,0,0,landmark
MAPKAPK3,1,0,0,landmark
MAPKAPK5,1,0,0,landmark
MAPT,0,0,1,pam50
MAST2,1,0,0,landmark
MAT2A,1,0,0,landmark
MBNL1,1,0,0,landmark
MBNL2,1,0,0,landmark
MBOAT7,1,0,0,landmark
MBTPS1,1,0,0,landmark
MCL1,0,1,0,target
MCM3,1,0,0,landmark
MCOLN1,1,0,0,landmark
MDM2,0,1,1,"target,pam50"
ME2,1,0,0,landmark
MEF2C,1,0,0,landmark
MELK,1,0,1,"landmark,pam50"
MEN1,0,1,0,target
MEST,1,0,0,landmark
MET,0,1,0,target
MFSD10,1,0,0,landmark
MGMT,0,1,0,target
MIA,0,0,1,pam50
MICALL1,1,0,0,landmark
