drug_name,hugo_targets,mechanism
selumetinib:navitoclax (8:1 mol/mol),MAP2K1;MAP2K2;BCL2;BCL2L1;BCL2L2,"inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W"
selumetinib:piperlongumine (8:1 mol/mol),MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels
selumetinib:PLX-4032 (8:1 mol/mol),MAP2K1;MAP2K2;BRAF,inhibitor of MEK1 and MEK2;inhibitor of BRAF
selumetinib:tretinoin (2:1 mol/mol),MAP2K1;MAP2K2;RARA;RARB;RARG,inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors
selumetinib:UNC0638 (4:1 mol/mol),MAP2K1;MAP2K2;EHMT1;EHMT2,inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase
selumetinib:vorinostat (8:1 mol/mol),MAP2K1;MAP2K2;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
Semagacestat,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
Sepantronium bromide,BIRC5,inhibitor of survivin expression
Serdemetan,MDM2,inhibitor of MDM2
serdemetan:SCH-529074 (1:1 mol/mol),MDM2;TP53,inhibitor of MDM2;activator of mutant p53
Sgx-523,MET,inhibitor of MET
SID 26681509,CTSL1,inhibitor of cathepsin L
Sildenafil,PDE5A,inhibitor of phosphodiesterase 5A
Silmitasertib,CSNK2A1;CSNK2A2,inhibitor of casein kinase 2
Simvastatin,HMGCR,inhibitor of HMG-CoA reductase
Sirolimus,MTOR,inhibitor of mTOR
sirolimus:bortezomib (250:1 mol/mol),MTOR;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of mTOR;inhibitor of 26S proteasome
Sitagliptin,DPP4,inhibitor of dipetidyl peptidase-4
SJ-172550,MDM2;TP53,inhibitor of p53-MDM2 interaction
Skepinone-L,MAPK14,inhibitor of p38 MAPK
SKI-II,SPHK1,inhibitor of sphingosine kinase 1
SMER-3,CUL1;SKP1,inhibitor of E3-ubiquitin ligase
SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I
SNS-032,CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5,inhibitor of cyclin-dependent kinases
Snx-2112,HSP90AA1;HSP90B1,inhibitor of HSP90alpha and HSP90beta
SNX-2112:bortezomib (250:1 mol/mol),HSP90AA1;HSP90B1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome
Sorafenib,BRAF;FLT3;KDR;RAF1,"inhibitor of BRAF, CRAF, and VEGFR2"
Sotrastaurin,PRKCB,inhibitor of protein kinase C beta
spautin-1,USP10;USP13,inhibitor of the deubiquitinase activity of USP13 and USP10
SR-II-138A,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
SR1001,RORA;RORC,synthetic ROR ligand; suppressor of TH17 differentiation
SR8278,NR1D1,antagonist of Rev-ErbAalpha
SRT-1720,SIRT1,activator of sirtuin-1
StemRegenin 1,AHR,inhibitor of aryl hydrocarbon receptor
STF-31,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
Sunitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
SZ4TA2,BCL2L1,inhibitor of BCL-xL
Tacedinaline,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
Tacrolimus,PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2,inhibitor of calcineurin
Tamoxifen,ESR1;ESR2,modulator of estrogen receptors
Tandutinib,FLT3;KIT,inhibitor of c-KIT and VEGFR3
Tanespimycin,HSP90AA1,inhibitor of HSP90
tanespimycin:bortezomib (250:1 mol/mol),HSP90AA1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HSP90;inhibitor of 26S proteasome
tanespimycin:gemcitabine (1:1 mol/mol),HSP90AA1;CMPK1;RRM1;TYMS,"inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
Telomerase Inhibitor IX,TERT,inhibitor of telomerase reverse transcriptase
Temsirolimus,MTOR,inhibitor of mTOR
Teniposide,TOP2A;TOP2B,inhibitor of topoisomerase II
TG-100-115,PIK3CD;PIK3CG,inhibitor of PI3K catalytic subunits delta and gamma
TGX221,PIK3CB,inhibitor of PI3K catalytic subunit beta
Thalidomide,CRBN,immunomodulatory drug; binder of cereblon
Tipifarnib,FNTA,inhibitor of farnesyltransferase
Tivantinib,MET,inhibitor of MET; inhibitor of microtubule assembly
Tivozanib,FLT1;FLT3;KDR,inhibitor of VEGFRs
Topotecan,TOP1,inhibitor of topoisomerase I
Tosedostat,ANPEP;LAP3;NPEPPS,"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N"
Tozasertib,AURKA;AURKB;AURKC,inhibitor of aurora kinases
TPCA-1,IKBKB,inhibitor of IKK-2
Trametinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
Tretinoin,RARA;RARB;RARG,agonist of retinoid acid receptors
tretinoin:carboplatin (2:1 mol/mol),RARA;RARB;RARG,agonist of retinoid acid receptors;inducer of DNA damage
tretinoin:navitoclax (4:1 mol/mol),RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2,"agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W"
Triazolothiadiazine,PDE4A;PDE4B;PDE4D,inhibitor of phosphdiesterase 4A/B/D
Trifluoperazine,DRD2,antagonist of dopamine receptor D2
Tubastatin A,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6
Turofexorate isopropyl,NR1H4,agonist of farnesoid X receptor
TW 37,BCL2;BCL2L1,inhibitor of BCL2 and BCL-xL
UNC0321,EHMT2,inhibitor of G9a histone methyltransferase
UNC0638,EHMT1;EHMT2,inhibitor of EHMT2 and GLP methyltransferase
UNC0638:navitoclax (1:1 mol/mol),EHMT1;EHMT2;BCL2;BCL2L1;BCL2L2,"inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W"
Unii-40E3azg1MX,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)
VAF-347,AHR,inhibitor of aryl hydrocarbon receptor
Valdecoxib,PTGS2,inhibitor of cyclooxygenase-2 (COX2)
Vandetanib,EGFR;KDR,inhibitor of VEGFR2 and EGFR
Veliparib dihydrochloride,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)
Vemurafenib,BRAF,inhibitor of BRAF
Venetoclax,BCL2,inhibitor of BCL2
VER-155008,HSPA1A;HSPA1B;HSPA1L,inhibitor of HSP70
Vorapaxar,F2R,antagonist of proteinase-activated receptor 1 (PAR1)
Vorinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
vorinostat:carboplatin (1:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inducer of DNA damage"
vorinostat:navitoclax (4:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W"
VU0155056,PLD1;PLD2,inhibitor of phospholipase D1/D2
WZ4002,EGFR,inhibitor of EGFR targeting T790M resistance
WZ8040,EGFR,inhibitor of EGFR targeting T790M resistance
XL765,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,inhibitor of mTOR and PI3K kinase acitivities
YK 4-279,DHX9;ERG;ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity
Z-Leu-leu-leu-al,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of the proteosome
Zebularine,DNMT1,inhibitor of DNA methyltransferases
ZSTK474,PIK3CB;PIK3CD;PIK3CG,"inhibitor of PI3K catalytic subunits beta, delta, and gamma"
